serial_no,semester,department,course_code,name_zh,name_en,instructor,edu_system,credit,teaching_goal,teaching_content,textbooks,self_compiled_ratio,instruction_way,grading,office_hour,teaching_weeks,flex_learning,course_domain
52028,1142,Department of Computer Science and Elec. Engineering,CE5038-*,資料壓縮,Data Compression,"Su, Po-Chyi",Master/Doctoral Programme,3,Study theoretical and practical knowledge of multimedia data compression and signal processing.,"“1. Introduction: lossless and lossy data compression; modelling and coding; entropy and source coding theorem
2. Lossless compression
I. Huffman Coding: uniquely decodable codes; Huffman Codes; dynamic Huffman coding; applications.
II. Arithmetic Coding: implementation details; adaptive arithmetic coding; applications.
III. Dictionary Method: static dictionary codes; Lempel-Ziv coding; LZ 77/78 and their variations; implementation and applications.
3. Lossy compression
I. Scalar/Vector Quantization Non-uniform quantizer; Lloyd algorithm; LBG Algorithm; tree structure VQ; search methods for nearest neighbor encoding; variations and applications.
II. Still image compression: JPEG/JPEG2000, EZW, SPIHT
III. Video compression: MPEG, H.264
IV. Audio compression: MP3
“","“1. Thomas M. Cover and Joy A. Thomas, ““Elements of Information Theory,““ 2nd Edition, Wiley-Interscience Publication, John Wiley ＆ Sons, Inc., 2006.
2. Timothy Bell, John Cleary, Ian Witten, ““Text Compression,““ 1990.
3. William B. Pennebaker, Joan L. Mitchell, ““JPEG: Still Image Data Compression Standard““, 1992.
4. Iain E.G. Richardson, ““H.264 and MPEG-4,““ Wiley, 2003.
5. David Taubman, Michael Marcellin, ““JPEG2000: Image Compression Fundamentals, Standards and Practice““, 2001.
6. Allen Gersho, R. and Robert M. Gray, ““Vector Quantization and Signal Compression,““ Klumer Acad. Pub. 1992.
7. David Salomon, ““Handbook of Data Compression,““ 5th Edi. Springer, 2010.
8. J. Arnold, M. Frater and M. Pickering, ““Digital Television – Technology and Standards,““ Wiley-Interscience Publication, John Wiley ＆ Sons, Inc., 2007.
“",80,Lecture,"“1. Homework: 40％
2. Final exam: 30％
3. Term report 30％
“",Wed. 13:00~15:00 or by appointment,16,According to the explanation provided by the instructor during class.,人工智慧、資料科學與多媒體研究群
52029,1142,Department of Computer Science and Elec. Engineering,CE5065-*,使用者界面設計和評鑑,Design and Evaluation of User Interface,"Chen, Sherry Y.",Master/Doctoral Programme,3,To know how to design usable interface and conduct evaluation with scientific criteria.,"Design of Interactive Interface
Usability of User Interface
Creditability of User Interface
Evaluation Methods of User Interface
Accommodation of Individual Differences
Customization and Personalization
Selected Topics",None,100,"Lecture
		Seminar
		Practical Training Lab
		Individual Instruction","Class Participation and Answers to Questions: 40%
Assignments and Reports: 40%
Tests: 20%",Wednesday 14:00-15:00,16,"Week 1-Week 16: Lectures
Week 17 and Week 18: Activities","人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52030,1142,Department of Computer Science and Elec. Engineering,CE5066-*,生物與醫學資訊之資訊探勘,Data mining on biological and andmedical data,"Horng, Jorng-Tzong",Master/Doctoral Programme,3,,,,0,,,0,16,According to the explanation provided by the instructor during class.,
52031,1142,Department of Computer Science and Elec. Engineering,CE5081-*,學習、合作與創造,"Learning, Collaboration and Creativity","Liu, Chen-Chung",Master/Doctoral Programme,3,"Understanding  cognitive and learning theories related to technology design, and gaining deeper insighs into digital learning and general principles of information design","Introduction to Learning Sciences
Cognitive Load Theory
Flow Theory and Computer Games
Games and Learning
Constructivism
Constructionism
Cognitive Apprenticeship Theory
Knowledge Building Theory
Community of Practice Theory
Collaborative Learning
Creativity: Cognition and Development
Interest and Motivation Development
Motivation and Creativity
Space and Learning",Key Classic Literature and Recent Research Papers,50%,"Lecture
		Seminar","In-class participation ＆ responses to question (30％), Presentation (30％), Reading response (40％)",Tue 09:00-12:00,16,According to the explanation provided by the instructor during class.,數位學習研究群
52032,1142,Department of Computer Science and Elec. Engineering,CE5084-*,影音訊號處理實務,Practice in Video/Audio Signal Processing,"Wang, Jia-Ching",Master/Doctoral Programme,3,,,,0,,,,16,According to the explanation provided by the instructor during class.,
52033,1142,Department of Computer Science and Elec. Engineering,CE5087-*,科技風險管理,IT Risk Management,"Sun, Min-Te(Peter)
Lee Yi-Yuan",Master/Doctoral Programme,3,科技風險管理課程的重要性在於幫助組織和個人適應快速科技風險管理課程的重要性在於幫助組織和個人適應快速變化的科技環境，並有效地管理科技相關的風險。首先將會介紹風險管理模型，然後提出其中IT風險管理的幾個面向，跟同學們交流。幾個國際的科技風險要求，以及兩岸金融業的科技風險規範，就是接下來的重點；規範怎麼要求，組織如何落實，監管單位如何查核，組織又如何應對，最後實務上又是怎麼的碰撞，幾個經典的案例希望能協助同學有進一步的思考，裡面涵蓋了對於資安長CISO的要求與考驗，零信任架構近幾年落實在國內外的樣態與案例，金融科技風險要求的實際挑戰與回應，大型集團全面導入ISMS與ITSM的前世與今生，以及最貼近時事的，近幾年協助國內大型組織，處理受駭事件，接任指揮然後協調所有資源，協助客戶逐步恢復正常運作的經驗談。資安的下一步就是科技風險管理，希望能協助同學掌握要點並發揮在未來的工作中。,"每週進度表
週次	上課日期	課程進度、內容、主題
1　		課程簡介, IT科技風險概論
2　		Lecture 1: 風險管理模型介紹
3　		Lecture 1: 風險管理模型介紹之二
4　		Lecture 2: 兩岸科技風險規範介紹
5　		Lecture 2: 兩岸科技風險規範介紹之二
6　		期末專題提報
7　		Lecture 3: 國際科技風險要求
作業一繳交
8　		Lecture 3: 國際科技風險要求之二
9　		Lecture 3: 國際科技風險要求之三
10　		Lecture 4: 科技風險管理案例分享
作業二繳交
11　		Lecture 4: 科技風險管理案例分享之二
12　		Lecture 5: 駭客接戰engage案例分享
13　		Lecture 5: 駭客接戰engage案例分享之二
14　		期末專題報告之一
作業三繳交
15　		期末專題報告之二
16　		期末專題報告之三",授課講義、論文及外部資料,100,Lecture,出席10%，習題45%，期末專案報告40%,"Tu 10:00 – 11:00, and others by appointment",16,External Discussion,資安、網路、資料庫與系統研究群
52034,1142,Department of Computer Science and Elec. Engineering,CE5088-*,深度強化學習,Deep Reinforcement Learning,"Lin,Chien-Chang",Master/Doctoral Programme,3,"This course aims to provide graduate students with a comprehensive understanding of deep reinforcement learning (DRL) — a field that combines reinforcement learning (RL) and deep learning (DL) to enable intelligent agents to learn complex behaviors through interaction with environments.
By the end of the course, students will be able to:
1.	Understand the theoretical foundations of reinforcement learning, including Markov decision processes, Bellman equations, policy evaluation, and value iteration.
2.	Apply deep learning techniques (e.g., convolutional and recurrent neural networks) to approximate value functions and policies.
3.	Implement and analyze key DRL algorithms such as DQN, DDPG, A3C, PPO, and SAC.
4.	Experiment with real-world or simulated environments using frameworks such as OpenAI Gym, PyTorch, or TensorFlow.
5.	Critically evaluate current research papers and identify emerging trends and open challenges in DRL.
6.	Design and implement a mini-project or research proposal demonstrating the application of DRL to a specific problem domain (e.g., robotics, games, control systems, or autonomous decision-making).","This course provides a rigorous and comprehensive introduction to Deep Reinforcement Learning (DRL) — the interdisciplinary field at the intersection of machine learning, control theory, and artificial intelligence.
Students will explore how intelligent agents learn to make sequential decisions through interaction with dynamic environments using reward-driven learning frameworks.
The course covers fundamental topics in reinforcement learning, including Markov decision processes (MDPs), value-based and policy-based methods, temporal-difference learning, and exploration–exploitation trade-offs. Building on these foundations, students will study deep neural architectures that enable DRL agents to operate in high-dimensional, complex environments.
Through lectures, hands-on coding assignments, and research-oriented projects, students will gain both theoretical understanding and practical implementation skills. Real-world applications — such as robotics, autonomous driving, game playing (e.g., AlphaGo), and resource optimization — will be discussed to illustrate the transformative potential of DRL.","Deep Reinforcement Learning Hands‑On(Maxim Lapan), The 3rd Edition.",30,"Lecture
		
		Practical Training Lab","Midterm  40%
Project presentation  20%
Final exam  40%",Friday afternoon 4:00pm – 6:00pm (virtual),16,According to the explanation provided by the instructor during class.,人工智慧、資料科學與多媒體研究群
52035,1142,Department of Computer Science and Elec. Engineering,CE6002-*,書報討論,Seminar,Hui-Ju Hung,Master/Doctoral Programme,0,,,,0,,,,16,According to the explanation provided by the instructor during class.,
52036,1142,Department of Computer Science and Elec. Engineering,CE6011-*,專題討論,Special Topics in Computer Science,教授群,Master/Doctoral Programme,0,U3BlY2lhbCBQcm9qZWN0IGluIENvbXB1dGVyICBTY2llbmNl,4oCcUGFwZXIgUmVhZGluZwpTeXN0ZW0gRGVtbwpHcm91cCBEaXNjdXNzaW9u4oCc,U2VsZWN0ZWQgcGFwZXJzL2Jvb2tz,0,"Seminar
		
		Individual Instruction",100,Appointments with Professors,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52037,1142,Department of Computer Science and Elec. Engineering,CE6012-*,專題討論,Special Topics in Computer Science,教授群,Master/Doctoral Programme,0,Special Project in Computer Scienc,"“Paper Reading
System Demo
Group Discussion“",Selected papers/books,100,"Lecture
		Seminar
		
		Individual Instruction",Individual Performance 100％,Appointments with Professors,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52038,1142,Department of Computer Science and Elec. Engineering,CE6032-*,電腦視覺,Computer Vision,"Fan, Kuo-Chin",Master/Doctoral Programme,3,"“Computer vision is the enterprise of automating and integrating a wide range of processes and representations for visual perception [Ballard and Brown 1982]. In this course, we plan to address the theoretic foundations and technical aspects of computer vision. It will cover branches of many different disciplines and has applications across the whole spectrum of science, art and humanities.
The following issues will be introduced in this course.
?Applications of computer vision
?History of computer vision
?2D Shape description and representation
?2D representation
?Stereo vision
?Feature extraction
?Feature matching
?Motion analysis
?Range finder
?Region analysis
?Texture analysis
?Color analysis
?3D shape description and representation“","“Computer vision is the enterprise of automating and integrating a wide range of processes and representations for visual perception [Ballard and Brown 1982]. In this course, we plan to address the theoretic foundations and technical aspects of computer vision. It will cover branches of many different disciplines and has applications across the whole spectrum of science, art and humanities.
The following issues will be introduced in this course.
?Applications of computer vision
?History of computer vision
?2D Shape description and representation
?2D representation
?Stereo vision
?Feature extraction
?Feature matching
?Motion analysis
?Range finder
?Region analysis
?Texture analysis
?Color analysis
?3D shape description and representation“",Non,0,"Lecture
		Seminar","Examination: 50％
Report: 40％
Others : 10％",Monday-Friday 9:00-5:00,16,According to the explanation provided by the instructor during class.,軟體工程與計算理論研究群
52039,1142,Department of Computer Science and Elec. Engineering,CE6039-*,資料庫系統,Database,"Tsai, Meng-Feng",Master/Doctoral Programme,3,"“Students should understand the concepts of Database, as well as issues in design and management. 
They should also learn the basic query language and methodologies related to normalization and performance optimization.“",Database concepts; Data Model; Integrity and management; Relational algebra and calculus; SQL; Table Normalization; Query optimization.,"“Fundamentals of Database Systems, 7th Edition,Ramez Elmasri, Shamkant B. Navathe.“",50,"Lecture
		Seminar
		Practical Training Lab","“Midterm Exam: 30％
Project: 30％
Assignments: 10％
Final Exam: 30％“",Monday 9:00-11:00,16,According to the explanation provided by the instructor during class.,"資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52040,1142,Department of Computer Science and Elec. Engineering,CE6101-*,智慧型網路服務工程,Semantic Web services engineering,"Yang, Stephen J.H.",Master/Doctoral Programme,3,Learning outcome：Generative AI and LLMs innovation and their applications,"Learning outcome：Generative AI and LLMs innovation and their applications
Literature review: 22 paper reading, Presentations, discussion, TA will inform you
Flipped classroom:
Before class (before noon on Monday of the previous week): Presentation email (15-page ppt) to TA ＆ teacher (Attachment 1)
There are two presentations per week, and each one will be presented by one student. The number of presentations will be evenly distributed according to the number of students in the class.
Before class: Everyone reads Presentations before class through BookRoll
Before class (before noon on Monday of the current week): Each person email “Preview” report to TA ＆ teacher (Attachment 2)
In class: Presentations reports and discussions
After class (before noon on Wednesday of the week): Each person email “Reflection” report to TA ＆ teacher (Attachment 3)
Use BookRoll in class, students please bring your own NB","“handout, cited paper references“",50,"Lecture
		Seminar
		Practical Training Lab
		Individual Instruction","2 Presentations (30％)、22 previews (25％)、22 reflections (25％)
1 midterm (10％) ＆ 1 final exams (10％)",Tue 10AM,16,According to the explanation provided by the instructor during class.,"數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52041,1142,Department of Computer Science and Elec. Engineering,CE6103-*,智慧型語言學習系統,Computer Assisted Language Learning,"Yang, Jie-Chi",Master/Doctoral Programme,3,"The objectives of this course are to introduce the development of the field of Computer Assisted Language Learning, to discuss the design principles of Computer Assisted Language Learning, and to implement a Computer Assisted Language Learning system.","The course includes: Lecture, Group discussion, and Group presentations (group project proposal, system exploration, group project final presentations).",Papers,100,"Lecture
		Seminar
		
		Individual Instruction
		Others","Group discussion (every week): 20％
Group project proposal presentation: 15％
System exploration presentation: 15％
Group project final presentation: 30％
Peer evaluation: 10％
Attendance: 10％",Wed 13:00-16:00,16,discussion on research paper and system implementation,數位學習研究群
52042,1142,Department of Computer Science and Elec. Engineering,CE6132-*,高等分散式計算模型,Advanced Distributed Computing Models,"Wang, Wei-Jen",Master/Doctoral Programme,3,"1. This course will present an overview of several distributed computing models 
2. This course will assume familiarity with Java/C programming and operating systems","“Distributed Computing Model Overview,
Concurrency and Consistency,
Java Sockets,
Java threads and synchronization,
Message Passing Interface (MPI),
Concept of Mobile Code and Mobile Agent,
Actor Model and  SALSA Programming Language,
Lambda-calculus and Petri-Net,
Pi-Calculus,
Mobile Ambients,
Join-Calculus,
Global State Detection
“",Handouts and selected papers,90,Lecture,"“There will be one exam which will count 35％ of the course grade.
 There will be approximately 2~3 individual assignments, which will together count 35％ of the course grade. 
 Students will be asked to present selected papers, which will count 30％ of the course grade.
“",Monday 13:00-14:00 or by appointment,16,The length of this course is 16+2 weeks. The last two weeks will be used for group discussions and feedbacks.,軟體工程與計算理論研究群
52043,1142,Department of Computer Science and Elec. Engineering,CE6137-*,計算機結構,Computer Architecture,"Cheng, Hsu-Yung",Master/Doctoral Programme,3,Let the students understand the design and development of computer architecture,"“Fundamentals of Computer Design
Instruction Set Principles and Pipelining
Advanced Pipelining and Instruction Level Parallelism (ILP)
Scoreboard, Tomasulo
Branch Prediction
Memory Hierarchy, Cache
Virtual Memory
I/O, Storage
Multi-Processers“","“J. L. Hennessy and D. A. Patterson, Computer Architecture: A Quantitative Approach, fourth Edition, Morgan Kaufmann Publishing Co.
D. A. Patterson and J. L. Hennessy , Computer Organization ＆ Design: The hardware/software interface, Morgan Kaufmann Publishing Co.“",0,Lecture,"15％ Quiz and Class Participation
28％ Mid-term1
28％ Mid-term2
29％ Final Examination",Wednesday 13:30-14:30,16,According to the explanation provided by the instructor during class.,資安、網路、資料庫與系統研究群
52044,1142,Department of Computer Science and Elec. Engineering,CE6147-*,巨量資料專題討論,Special Topics in Big Data,全體專任老師,Master/Doctoral Programme,2,Special Project in Computer Science,"“Paper Reading
System Demo
Group Discussion“",Selected papers/books,100,"Lecture
		Seminar
		
		Individual Instruction",Individual Performance 100％,Appointments with Professors,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52045,1142,Department of Computer Science and Elec. Engineering,CE6148-*,混合現實的原理與應用,Mixed Reality: Technique and Applications,"Yeh, Shih-Ching",Master/Doctoral Programme,3,"“This course aiming at mixed reality intends to provide knowledge in regard with theory, technique and application. The course contents consider the width and the depth of the mixed reality associated knowledge. Further, students will catch up the advanced research topics via the latest-paper reading.“","“Computer graphics and animation
Immersive display technology
Haptics
Interactive technology
Virtual Reality
Augmented Reality
Application on neuro-motor rehabilitation
Application on neuro-cognitive rehabilitation
Application on mental treatment
Application on education
“",N.A.,100,Lecture,"“Homework: 30％
Mid-Exam: 20％
Final-Exam: 30％
Paper Presentation: 20％
“",Thursday 9:00-12:00,16,According to the explanation provided by the instructor during class.,人工智慧、資料科學與多媒體研究群
52046,1142,Department of Computer Science and Elec. Engineering,CE6152-*,書報討論,Seminar,Hui-Ju Hung,Master Programs,1,,,,0,,,,16,According to the explanation provided by the instructor during class.,
52047,1142,Department of Computer Science and Elec. Engineering,CE6166-*,資料庫系統實作專題,Practical special topics on Database System,"Chen, Gwo-Dong",Master/Doctoral Programme,3,To let students understand database system through Application development,"Database Concept , Data Model , Database design,
Based on a given application, transaction design on database. Database query , data characteristic definition.","Fundamentals of database system 7th edition
Ramez Elmasri, Shamkant B. Navathe",50,"Lecture
		
		Practical Training Lab","Midterm exam 20％, 
Usual grades (including classroom practice/homework/roll call) 40％, 
Final exam 20％, 
Final group project 20％","""Monday, at 13:00-16:00pm""",16,According to the explanation provided by the instructor during class.,資安、網路、資料庫與系統研究群
52048,1142,Department of Computer Science and Elec. Engineering,CE6167-*,隱私保護資料分析,Privacy-Preserving Data Analysis,Hui-Ju Hung,Master/Doctoral Programme,3,The goal of privacy preserving data analysis is to retrieve useful information from big data while preserving users’ privacy. This course will provide a comprehensive introduction to the concepts and methods of privacy-preserving data analysis.,"This course will introduce four key concepts:
1. Data Anonymization: This involves techniques such as k-anonymity and l-diversity, which are employed to prevent linking attacks and homogeneity attacks.
2. Differential Privacy: This is a mathematical framework for releasing statistical information about datasets while protecting the privacy of individual data subjects, which protects individual’s privacy by injecting carefully calibrated noise into the released data.
3. Cryptography: This involves techniques like secure multiparty computation, which allows multiple organizations or individuals to collaborate on computations without disclosing their own data.
4. Federated Learning: This is a decentralized learning approach that enables participants to keep their data local while collaboratively training a machine learning model, balancing privacy protection with model performance.","References:
1.	Charu C. Aggarwal and Philip S. Yu. Privacy-Preserving Data Mining: Models and Algorithms.
2.	Cynthia Dwork and Aaron Roth. The Algorithmic Foundations of Differential Privacy.",100,"Lecture
		Seminar
		
		
		Others","Homework (15％)
Paper presentation (15％)
Midterm exam (30％)
Final project (35％)
Class participation (5％)",Thursdays 11:00-12:00,16,The 17th and 18th weeks will be for project discussion.,人工智慧、資料科學與多媒體研究群
52049,1142,Department of Computer Science and Elec. Engineering,CE6168-*,資訊安全與隱私概論,Introduction to Information Security and Privacy,"Yang,Hao-Tsung",Master/Doctoral Programme,3,"This course will impart a technical and social understanding of how and why security and privacy matter, how to think adversarially, how (and how not) to design systems and products.","Topics include but limit to user authentication, cryptography, malware, behavioral economics in security, human factors in security, privacy and anonymity, adversarial modeling, and attack and defense in internet of things.",None,100,Lecture,"30％ Class activity
20％ Group project
20％ Midterm
30％ Finals",Thu. 1pm- 4pm,16,Extension on course materials,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群"
52050,1142,Department of Computer Science and Elec. Engineering,CE7030-*,無線感測網路協定與應用,Protocols and Applications for Wireless Sensor Networks,"Chang, Guey-Yun",Master/Doctoral Programme,3,建立學生物聯網技術理論基礎並培養學生實作經驗。,"“1。物聯網感知層與網路建構
2。物聯網網路層
3。物聯網應用層：雲端服務
4。物聯網安全“",,100,"Lecture
		
		Practical Training Lab",,0,16,According to the explanation provided by the instructor during class.,
52051,1142,Department of Computer Science and Elec. Engineering,CE7066-*,社群媒體探勘,Social Media Mining,"TSAI, TZONG-HAN",Master/Doctoral Programme,3,"""社群媒體包含facebook, twitter等等, 已成為網路使用者最頻繁使用之信息交流管道。主要社群媒體，均擁有數以千萬的使用者，並產生巨量訊息流通。在本院系導入資訊探勘技術，以分析信息內容、社群使用者關係，使用者與產品關聯性，在Big Data時代，將有非常重要的產業與研究價值。""","1. Graph Essentials
2. Network Measures
3. Network Models
4. Data Mining Essentials
5. Community Analysis
6. Information Diffusion
7. Influence and Homophily
8. Recommendation in Social Media
9. Opinion Mining for Social Texts",Social Media Mining: An Introduction,0,"Lecture
		Seminar","Homework assignments (20%)  ?
Midterm Exam (30%)
Paper Presentation (20%)
Final Project (30%)","""Mon. 10am-1pm, 4pm-5pm""",16,According to the explanation provided by the instructor during class.,軟體工程與計算理論研究群
52052,1142,Department of Computer Science and Elec. Engineering,CE7067-*,論文研討,Thesis Research in Computer Science,指導教授,Master Programs,1,"“Research Progress
Finish Thesis“","“Paper presentation
Thesis discussion“",N/A,100,"Seminar
		
		Individual Instruction",Research Progress,Appointment,16,研讀、討論、分享領域最新研究成果。,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52053,1142,Department of Computer Science and Elec. Engineering,CE7068-*,論文研討,Thesis Research in Computer Science,指導教授,Master Programs,1,"“Research Progress
Finish Thesis“","“Paper presentation
Thesis discussion“",N/A,100,"Seminar
		
		Individual Instruction",Research Progress,Appointment,16,研讀、討論、分享領域最新研究成果。,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52054,1142,Department of Computer Science and Elec. Engineering,CE7069-*,論文研討,Thesis Research in Computer Science,指導教授,Master Programs,1,"“Research Progress
Finish Thesis“","“Paper presentation
Thesis discussion“",N/A,0,"Seminar
		
		Individual Instruction",Research Progress,Appointment,16,研讀、討論、分享領域最新研究成果。,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52055,1142,Department of Computer Science and Elec. Engineering,CE7070-*,論文研討,Thesis Research in Computer Science,指導教授,Master Programs,1,"“Research Progress
Finish Thesis“","“Paper presentation
Thesis discussion“",N/A,100,"Seminar
		
		Individual Instruction",Research Progress,Appointment,16,研讀、討論、分享領域最新研究成果。,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52056,1142,Department of Computer Science and Elec. Engineering,CE7076-*,生成式人工智慧與基礎模型於生物資訊之理論與應用,Generative Artificial Intelligence and Foundation Models in Bioinformatics: Theory and Applications,Chung Chia Ru,Undergraduate Programme,3,"1. Understand the core concepts and algorithmic principles of generative AI and foundation models.
2. Analyze the characteristics and challenges of multimodal biological data, including genomic, proteomic, and transcriptomic datasets.
3. Design and implement AI models tailored for bioinformatics analysis.
4. Critically evaluate model performance, interpretability, and limitations in biomedical applications.
5. Develop interdisciplinary perspectives and apply AI approaches to foster innovation in biomedical and precision medicine research.","1. Theoretical Foundations and Architectures of Generative AI and Foundation Models
2. Characteristics and Challenges of Multimodal Biological Data
3. Design and Implementation of AI Models for Bioinformatics Analysis
4. Evaluation, Interpretability, and Limitations of AI Models in Biomedicine
5. Interdisciplinary Integration and Innovation in AI-driven Biomedicine","1. Pierre Baldi and Søren Brunak (2001, updated ed.). Bioinformatics: The Machine Learning Approach. MIT Press.
2. Ian Goodfellow, Yoshua Bengio, Aaron Courville (2016). Deep Learning. MIT Press.",100,"Lecture
		Seminar
		Practical Training Lab","1. Class Participation: 20％
2. Homework: 30％
3. Final Exam: 20％
4. Final Project: 30％","Wed. 10:00-12:00, or by appointment",16,According to the explanation provided by the instructor during class.,人工智慧、資料科學與多媒體研究群
52057,1142,Department of Computer Science and Elec. Engineering,CE8013-*,AI與資訊安全 R&D,AI for Security R&D,韓伯維,Master/Doctoral Programme,3,"This course combines the fields of AI and security.
More specifically, it is built around small highly collaborative teams consisting of a mix of students with AI and/or security backgrounds. 
These teams will tackle a series of assignments where they learn how to utilize AI to solve various security problems inspired by real-world scenarios.","The areas mixed with AI and Security are taught in this class. Aside from lectures, students are required to conduct research and development as a group within a topic. Based on the assignments given, a research report is finalized for each group. This not only enhances the ability to collaborate as a team but also independent research skills.",No textbook,100,"Lecture
		Seminar","評量配分比重(外文)
Grading(In English or other languages)	Grades will be primarily based on assignment performance; there are no tests in this class.
This course will make extensive use of Python, but students may also need to utilize tools such as CLI, Latex, and in conjunction with whatever scripting/programming language is most appropriate. Note that this course not only requires research and development but also extensive English writing and presentation in groups.
Group: Oral Elevator Pitch (5％)
Group: Written Proposal (20％)
Group: Check Point Presentation (10％)
Group: Check Point Progress Report (10％)
Individual: A Paper Presentation (15％)
Group: Final Presentation (15％)
Group: Individual Evaluation (5%)
Group: Final Report (20％)",TBD,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群"
